Item_Code,Diet_Code,Location,Work_Center,Date,Version,Account,Measure,Entity,Bulk_Code
03089,DIET22234,10,101020,2200-12-31,Actual,Rate,5940.0,CJ_Foods,NONE
03089,DIET22234,10,104820,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03133,DIET22237,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03133,DIET22237,10,104820,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03140A,DIET22239,10,104620,2200-12-31,Actual,Rate,0.0,CJ_Foods,NONE
03140A,DIET22239,20,206020,2200-12-31,Actual,Rate,7740.0,CJ_Foods,NONE
03140A,DIET22239,20,206220,2200-12-31,Actual,Rate,2700.0,CJ_Foods,NONE
03157A,DIET22239,10,101020,2200-12-31,Actual,Rate,3900.0,CJ_Foods,NONE
03157A,DIET22239,10,104820,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03157A,DIET22239,20,205520,2200-12-31,Actual,Rate,13980.0,CJ_Foods,NONE
03157A,DIET22239,20,206120,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03171A,DIET22241,10,104620,2200-12-31,Actual,Rate,1680.0,CJ_Foods,NONE
03171A,DIET22241,20,206020,2200-12-31,Actual,Rate,6060.0,CJ_Foods,NONE
03171A,DIET22241,20,206220,2200-12-31,Actual,Rate,1620.0,CJ_Foods,NONE
03188,DIET22241,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03188,DIET22241,10,104820,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03188,DIET22241,20,206120,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03201A,DIETW22237,10,104620,2200-12-31,Actual,Rate,2880.0,CJ_Foods,NONE
03201A,DIETW22237,30,306020,2200-12-31,Actual,Rate,2520.0,CJ_Foods,NONE
03249A,DIET22238,10,104620,2200-12-31,Actual,Rate,1380.0,CJ_Foods,NONE
03249A,DIET22238,20,206020,2200-12-31,Actual,Rate,3660.0,CJ_Foods,NONE
03249A,DIET22238,20,206220,2200-12-31,Actual,Rate,1500.0,CJ_Foods,NONE
03249A,DIET22238,30,306020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
