ID,Description,Flour_Code,Type,Shape,Diameter_Category,Dry_Digest_Code,Dry_Digest_Description,Liq_Digest_Code,Liq_Digest_Description,TSS_Concat,DLD_Concat,Buyable,Minimum_Run_Size,Diameter
8505,HPN PD CAT W/D SUPER SACK,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1009,MEAT MDM CHKN GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1018,MEAT MDM LAMB GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
W7660,PNP BREEDER NATRL TIEL WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
W8200R,PNP ZFB TIEL RED WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,TRUE,0.0,0
W8200Y,PNP ZFB TIEL YELLOW WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,TRUE,0.0,0
20041,CMK ADLT FERRET BULK,F410,POULTRY,MULTI,MAX 11.00,0,0,0,0,POULTRY - MULTI - MAX 11.00,0 - 0,FALSE,20000.0,0
20059,CSI LOW SODIUM/INDR DOG BULK,F740,POULTRY,CYLINDER,MAX 6.75,0,0,0,0,POULTRY - CYLINDER - MAX 6.75,0 - 0,FALSE,0.0,0
20072,HBD COARSE BULK,HPC3,ORGANIC,CUBE,MAX 12.00,0,0,0,0,ORGANIC - CUBE - MAX 12.00,0 - 0,FALSE,20000.0,0
20073,HBD FINE BULK,FALF,ORGANIC,CYLINDER,MAX 3.50,0,0,0,0,ORGANIC - CYLINDER - MAX 3.50,0 - 0,FALSE,20000.0,0
20089,HPN FELINE HYPO TREAT BULK,F10862,HPN,HEART,MAX 17.00,0,0,0,0,HPN - HEART - MAX 17.00,0 - 0,FALSE,10000.0,0
20090,HPN CANINE HYPO TREAT BULK,F10861,HPN,BONE,MAX 45.00,0,0,0,0,HPN - BONE - MAX 45.00,0 - 0,FALSE,0.0,0
20098,HPN CANINE RX TREAT BULK,F10863,MEATLESS,BONE,MAX 47.00,0,0,0,0,MEATLESS - BONE - MAX 47.00,0 - 0,FALSE,20000.0,0
20109,MER ORG DOG COOKIES CHKN BULK,F625,ORGANIC,DISC,MAX 43.00,0,0,0,0,ORGANIC - DISC - MAX 43.00,0 - 0,FALSE,20000.0,0
20119,PNP FB BREDER TIEL YELLOW BULK,F7012,0,0,MAX 4.85,0,0,0,0,0 - 0 - MAX 4.85,0 - 0,FALSE,20000.0,0
20122,PNP NAT BREEDER PARROT&C BULK,F5960,MEATLESS,OVAL,MAX 15.50,0,0,0,0,MEATLESS - OVAL - MAX 15.50,0 - 0,FALSE,0.0,0
20123,PNP NATRL BREEDER TIEL BULK,F5960,MEATLESS,BALL,MAX 4.80,0,0,0,0,MEATLESS - BALL - MAX 4.80,0 - 0,FALSE,20000.0,0
20170,HBD POWER TRTS W/PALM OIL BULK,FCPT,ORGANIC,CUBE,MAX 12.00,0,0,0,0,ORGANIC - CUBE - MAX 12.00,0 - 0,FALSE,20000.0,0
20171,HBD JVX BULK,JVX3,ORGANIC,CYLINDER,MAX 8.00,0,0,0,0,ORGANIC - CYLINDER - MAX 8.00,0 - 0,FALSE,20000.0,0
20174,HBD SF BULK,FALFSF,ORGANIC,CYLINDER,MAX 2.50,0,0,0,0,ORGANIC - CYLINDER - MAX 2.50,0 - 0,FALSE,20000.0,0
20189,JAX MAINTENANCE BULK,F247,MEATLESS,DISC,MAX 11.50,0,0,0,0,MEATLESS - DISC - MAX 11.50,0 - 0,FALSE,20000.0,0
20215,MER ORG DOG COOKIE CHEESE BULK,F625,ORGANIC,DISC,MAX 27.50,0,0,0,0,ORGANIC - DISC - MAX 27.50,0 - 0,FALSE,20000.0,0
20216,MER ORGANIX DOG COOKIE PB BULK,F625,ORGANIC,DISC,MAX 27.50,0,0,0,0,ORGANIC - DISC - MAX 27.50,0 - 0,FALSE,20000.0,0
20222,PNP FB BREDER TIEL ORANGE BULK,F7012,0,0,MAX 4.85,0,0,0,0,0 - 0 - MAX 4.85,0 - 0,FALSE,20000.0,0
20223,PNP FB BREEDER TIEL RED BULK,F7012,0,0,MAX 4.85,0,0,0,0,0 - 0 - MAX 4.85,0 - 0,FALSE,20000.0,0
20224,PNP FB BREEDER TIEL GRN BULK,F7012,0,0,MAX 4.85,0,0,0,0,0 - 0 - MAX 4.85,0 - 0,FALSE,20000.0,0
20225,PNP GRAPES BULK,F7020,0,0,MAX 17.50,0,0,0,0,0 - 0 - MAX 17.50,0 - 0,FALSE,20000.0,0
20226,PNP FB BREEDER P&C YELLOW BULK,F7012,0,0,MAX 11.50,0,0,0,0,0 - 0 - MAX 11.50,0 - 0,FALSE,20000.0,0
20227,PNP FB BREEDER P&C RED BULK,F7012,0,0,MAX 11.50,0,0,0,0,0 - 0 - MAX 11.50,0 - 0,FALSE,20000.0,0
20228,PNP FB BREEDER P&C ORANG BULK,F7012,0,0,MAX 11.50,0,0,0,0,0 - 0 - MAX 11.50,0 - 0,FALSE,20000.0,0
20229,PNP FB BREEDER P&C LIME BULK,F7012,0,0,MAX 11.50,0,0,0,0,0 - 0 - MAX 11.50,0 - 0,FALSE,20000.0,0
20230,PNP FB BREEDER LG YELLOW BULK,F7012,0,0,MAX 19.50,0,0,0,0,0 - 0 - MAX 19.50,0 - 0,FALSE,20000.0,0
20231,PNP FB BREEDER LG RED BULK,F7012,0,0,MAX 19.50,0,0,0,0,0 - 0 - MAX 19.50,0 - 0,FALSE,20000.0,0
20232,PNP FB BREEDER LG ORANGE BULK,F7012,0,0,MAX 19.50,0,0,0,0,0 - 0 - MAX 19.50,0 - 0,FALSE,20000.0,0
20233,PNP FB BREEDER LG LIME BULK,F7012,0,0,MAX 19.50,0,0,0,0,0 - 0 - MAX 19.50,0 - 0,FALSE,20000.0,0
20234,PNP MEDIUM ORANGES BULK,F7020,0,0,MAX 9.70,0,0,0,0,0 - 0 - MAX 9.70,0 - 0,FALSE,20000.0,0
20235,PNP FB P&C YELLOW BULK,F7020,0,0,MAX 18.00,0,0,0,0,0 - 0 - MAX 18.00,0 - 0,FALSE,20000.0,0
20236,PNP FB P&C RED BULK,F7020,0,0,MAX 11.50,0,0,0,0,0 - 0 - MAX 11.50,0 - 0,FALSE,20000.0,0
20237,PNP FB P&C LIME BULK,F7020,0,0,MAX 11.50,0,0,0,0,0 - 0 - MAX 11.50,0 - 0,FALSE,20000.0,0
20238,PNP FB LG YELLOW BULK,F7020,0,0,MAX 25.00,0,0,0,0,0 - 0 - MAX 25.00,0 - 0,FALSE,20000.0,0
20239,PNP FB LG RED BULK,F7020,0,0,MAX 25.00,0,0,0,0,0 - 0 - MAX 25.00,0 - 0,FALSE,20000.0,0
20240,PNP FB LG LIME BULK,F7020,0,0,MAX 26.50,0,0,0,0,0 - 0 - MAX 26.50,0 - 0,FALSE,20000.0,0
20241,PNP NATRL P&C BULK,F7018,MEATLESS,OVAL,MAX 15.50,0,0,0,0,MEATLESS - OVAL - MAX 15.50,0 - 0,FALSE,0.0,0
