,ItemNumber FG,Work Order,Cause,ItemNumber INT,Rejected Pounds,Process Date,Run
0,50000449,WO21000848,Finished good not in breakout,0,4000.0,2021-03-27,1
1,50000450,WO21000849,Finished good not in breakout,0,24192.0,2021-03-27,1
2,50000451,WO21000850,Finished good not in breakout,0,90720.0,2021-03-27,1
3,50000452,WO21000851,Finished good not in breakout,0,3000.0,2021-03-27,1
4,50000453,WO21000852,Finished good not in breakout,0,14784.0,2021-03-27,1
5,50000454,WO21000853,Finished good not in breakout,0,30240.0,2021-03-27,1
6,50000455,WO21000854,Finished good not in breakout,0,3000.0,2021-03-27,1
7,50000456,WO21000855,Finished good not in breakout,0,32256.0,2021-03-27,1
8,50000457,WO21000856,Finished good not in breakout,0,450720.0,2021-03-27,1
9,50000463,WO21000859,Finished good not in breakout,0,2000.0,2021-03-27,1
10,50000463,WO21000860,Finished good not in breakout,0,1000.0,2021-03-27,1
11,50000464,WO21000861,Finished good not in breakout,0,2688.0,2021-03-27,1
12,50000464,WO21000862,Finished good not in breakout,0,2688.0,2021-03-27,1
13,50000465,WO21000863,Finished good not in breakout,0,40320.0,2021-03-27,1
14,50000465,WO21000864,Finished good not in breakout,0,37440.0,2021-03-27,1
15,50000466,WO21000865,Finished good not in breakout,0,139680.0,2021-03-27,1
16,50000523,WO21000880,Finished good not in breakout,0,40800.0,2021-03-27,1
17,50000524,WO21000881,Finished good not in breakout,0,350280.0,2021-03-27,1
18,50000525,WO21000882,Finished good not in breakout,0,139860.0,2021-03-27,1
19,50000527,WO21000883,Finished good not in breakout,0,399600.0,2021-03-27,1
20,50000531,WO21000884,Finished good not in breakout,0,29640.0,2021-03-27,1
21,50000532,WO21000885,Finished good not in breakout,0,39886.0,2021-03-27,1
22,50000533,WO21000886,Finished good not in breakout,0,120000.0,2021-03-27,1
23,50000534,WO21000887,Finished good not in breakout,0,45120.0,2021-03-27,1
24,50000535,WO21000888,Finished good not in breakout,0,70070.0,2021-03-27,1
25,50000618,WO21000899,Finished good not in breakout,0,217000.0,2021-03-27,1
26,50000621,WO21000900,Finished good not in breakout,0,6000.0,2021-03-27,1
27,50000622,WO21000901,Finished good not in breakout,0,8911.92,2021-03-27,1
28,50000622,WO21000902,Finished good not in breakout,0,38400.0,2021-03-27,1
29,50000624,WO21000903,Finished good not in breakout,0,40800.0,2021-03-27,1
30,50000634,WO21000904,Finished good not in breakout,0,149800.0,2021-03-27,1
31,50000644,WO21000905,Finished good not in breakout,0,3000.0,2021-03-27,1
32,50000673,WO21000915,Finished good not in breakout,0,131136.0,2021-03-27,1
33,50000676,WO21000916,Finished good not in breakout,0,169400.0,2021-03-27,1
34,50000684,WO21000917,Finished good not in breakout,0,19999.920000000002,2021-03-27,1
35,50000688,WO21000918,Finished good not in breakout,0,34999.92,2021-03-27,1
36,50000696,WO21000919,Finished good not in breakout,0,8000.0,2021-03-27,1
37,50000697,WO21000920,Finished good not in breakout,0,39999.96,2021-03-27,1
38,50000699,WO21000921,Finished good not in breakout,0,19999.920000000002,2021-03-27,1
39,50000701,WO21000922,Finished good not in breakout,0,3075.96,2021-03-27,1
40,50000708,WO21000923,Finished good not in breakout,0,32352.0,2021-03-27,1
41,50000709,WO21000924,Finished good not in breakout,0,20160.0,2021-03-27,1
42,50000713,WO21000925,Finished good not in breakout,0,40800.0,2021-03-27,1
43,50000721,WO21000926,Finished good not in breakout,0,4000.0,2021-03-27,1
44,50000722,WO21000927,Finished good not in breakout,0,77000.0,2021-03-27,1
45,50000724,WO21000928,Finished good not in breakout,0,40600.0,2021-03-27,1
46,50000725,WO21000929,Finished good not in breakout,0,2000.0,2021-03-27,1
47,50000726,WO21000930,Finished good not in breakout,0,50400.0,2021-03-27,1
48,50000729,WO21000931,Finished good not in breakout,0,2000.0,2021-03-27,1
49,50000731,WO21000932,Finished good not in breakout,0,14000.0,2021-03-27,1
50,50000732,WO21000933,Finished good not in breakout,0,76800.0,2021-03-27,1
51,50000734,WO21000934,Finished good not in breakout,0,46800.0,2021-03-27,1
52,50000735,WO21000935,Finished good not in breakout,0,6000.0,2021-03-27,1
53,50000736,WO21000936,Finished good not in breakout,0,33600.0,2021-03-27,1
54,50000737,WO21000937,Finished good not in breakout,0,6000.0,2021-03-27,1
55,50000738,WO21000938,Finished good not in breakout,0,42000.0,2021-03-27,1
56,50000758,WO21000939,Finished good not in breakout,0,34999.92,2021-03-27,1
57,50000759,WO21000940,Finished good not in breakout,0,4999.75,2021-03-27,1
58,50003141,WO21000963,Finished good not in breakout,0,34999.92,2021-03-27,1
59,50003146,WO21000964,Finished good not in breakout,0,4999.75,2021-03-27,1
60,50005279,WO21000972,Finished good not in breakout,0,399999.9,2021-03-27,1
61,50005280,WO21000973,Finished good not in breakout,0,50000.0,2021-03-27,1
62,50005281,WO21000974,Finished good not in breakout,0,170010.0,2021-03-27,1
63,50005282,WO21000975,Finished good not in breakout,0,13000.0,2021-03-27,1
64,50005283,WO21000976,Finished good not in breakout,0,39900.0,2021-03-27,1
65,50005284,WO21000977,Finished good not in breakout,0,19999.949999999997,2021-03-27,1
66,50005285,WO21000978,Finished good not in breakout,0,30000.0,2021-03-27,1
67,50005286,WO21000979,Finished good not in breakout,0,40950.0,2021-03-27,1
68,50005287,WO21000980,Finished good not in breakout,0,34650.0,2021-03-27,1
69,50005288,WO21000981,Finished good not in breakout,0,50400.0,2021-03-27,1
70,50008729,WO21001363,Finished good not in breakout,0,58201.920000000006,2021-03-27,1
71,50008946,WO21001365,Finished good not in breakout,0,99360.0,2021-03-27,1
72,50008959,WO21001381,Finished good not in breakout,0,32400.0,2021-03-27,1
73,50008960,WO21001382,Finished good not in breakout,0,252000.0,2021-03-27,1
74,50008961,WO21001383,Finished good not in breakout,0,16200.0,2021-03-27,1
75,50008962,WO21001384,Finished good not in breakout,0,25200.0,2021-03-27,1
76,50008963,WO21001385,Finished good not in breakout,0,21600.0,2021-03-27,1
77,50008964,WO21001386,Finished good not in breakout,0,31500.0,2021-03-27,1
78,50008965,WO21001387,Finished good not in breakout,0,201600.0,2021-03-27,1
79,50008966,WO21001388,Finished good not in breakout,0,100800.0,2021-03-27,1
80,50008967,WO21001389,Finished good not in breakout,0,100800.0,2021-03-27,1
81,50008986,WO21001407,Finished good not in breakout,0,19000.0,2021-03-27,1
82,50008987,WO21001408,Finished good not in breakout,0,21000.0,2021-03-27,1
83,50008988,WO21001409,Finished good not in breakout,0,8000.0,2021-03-27,1
84,50008989,WO21001410,Finished good not in breakout,0,19656.0,2021-03-27,1
85,50008990,WO21001411,Finished good not in breakout,0,20608.0,2021-03-27,1
86,50008991,WO21001412,Finished good not in breakout,0,40000.0,2021-03-27,1
87,50008992,WO21001413,Finished good not in breakout,0,40000.0,2021-03-27,1
88,50008993,WO21001414,Finished good not in breakout,0,19000.0,2021-03-27,1
89,50008994,WO21001415,Finished good not in breakout,0,21000.0,2021-03-27,1
90,50008995,WO21001416,Finished good not in breakout,0,40320.0,2021-03-27,1
91,50008996,WO21001417,Finished good not in breakout,0,18000.0,2021-03-27,1
92,50008997,WO21001418,Finished good not in breakout,0,22400.0,2021-03-27,1
93,50008998,WO21001419,Finished good not in breakout,0,19800.0,2021-03-27,1
94,50008999,WO21001420,Finished good not in breakout,0,20608.0,2021-03-27,1
95,50009000,WO21001421,Finished good not in breakout,0,19800.0,2021-03-27,1
96,50009001,WO21001422,Finished good not in breakout,0,21000.0,2021-03-27,1
97,50009002,WO21001423,Finished good not in breakout,0,17388.0,2021-03-27,1
98,50009003,WO21001424,Finished good not in breakout,0,4480.0,2021-03-27,1
99,50009004,WO21001425,Finished good not in breakout,0,18240.0,2021-03-27,1
100,50009005,WO21001426,Finished good not in breakout,0,20412.0,2021-03-27,1
101,50009006,WO21001427,Finished good not in breakout,0,19712.0,2021-03-27,1
102,50009007,WO21001428,Finished good not in breakout,0,18900.0,2021-03-27,1
103,50009008,WO21001429,Finished good not in breakout,0,21120.0,2021-03-27,1
104,50009009,WO21001430,Finished good not in breakout,0,13500.0,2021-03-27,1
105,50009010,WO21001431,Finished good not in breakout,0,23700.0,2021-03-27,1
106,50009011,WO21001432,Finished good not in breakout,0,20160.0,2021-03-27,1
107,50009012,WO21001433,Finished good not in breakout,0,20160.0,2021-03-27,1
108,50009017,WO21001436,Finished good not in breakout,0,100800.0,2021-03-27,1
109,50009018,WO21001437,Finished good not in breakout,0,105000.0,2021-03-27,1
110,50009019,WO21001438,Finished good not in breakout,0,85440.0,2021-03-27,1
111,50009020,WO21001439,Finished good not in breakout,0,115200.0,2021-03-27,1
112,50009021,WO21001440,Finished good not in breakout,0,15000.0,2021-03-27,1
113,50009021,WO21001441,Finished good not in breakout,0,15000.0,2021-03-27,1
114,50009022,WO21001442,Finished good not in breakout,0,70560.0,2021-03-27,1
115,50009022,WO21001443,Finished good not in breakout,0,50568.0,2021-03-27,1
116,50009023,WO21001444,Finished good not in breakout,0,120400.0,2021-03-27,1
117,50009023,WO21001445,Finished good not in breakout,0,99400.0,2021-03-27,1
118,50009035,WO21001448,Finished good not in breakout,0,354816.0,2021-03-27,1
119,50009036,WO21001449,Finished good not in breakout,0,200448.0,2021-03-27,1
120,50009037,WO21001450,Finished good not in breakout,0,233280.0,2021-03-27,1
121,50009038,WO21001451,Finished good not in breakout,0,488448.0,2021-03-27,1
122,50009039,WO21001452,Finished good not in breakout,0,500400.0,2021-03-27,1
123,50009040,WO21001453,Finished good not in breakout,0,332928.0,2021-03-27,1
124,50000461,WO21001890,Finished good not in breakout,0,3000.0,2021-03-27,1
125,50000725,WO21001891,Finished good not in breakout,0,5000.0,2021-03-27,1
126,50000733,WO21001892,Finished good not in breakout,0,2000.0,2021-03-27,1
127,50000632,WO21001893,Finished good not in breakout,0,12000.0,2021-03-27,1
128,50000644,WO21001895,Finished good not in breakout,0,1000.0,2021-03-27,1
129,50000645,WO21001896,Finished good not in breakout,0,40800.0,2021-03-27,1
130,50000694,WO21001898,Finished good not in breakout,0,54000.0,2021-03-27,1
131,50000697,WO21001899,Finished good not in breakout,0,20000.04,2021-03-27,1
132,50000709,WO21001900,Finished good not in breakout,0,20160.0,2021-03-27,1
133,50000630,WO21001907,Finished good not in breakout,0,6000.0,2021-03-27,1
134,50000631,WO21001908,Finished good not in breakout,0,120000.0,2021-03-27,1
135,50005296,WO21001917,Finished good not in breakout,0,6000.0,2021-03-27,1
