,WorkOrderNumber,Facility,OrderStatus,ItemNumber,PlannedQuantity,CompletedQuantity,PlannedStart,PlannedEnd,PONumber,Description,CategoryCode,ItemWeight,Demand quantity (pounds),ItemFacility,BalesPerPallet,in_breakout,Model plant,_merge,is_able
1,262670,20005,1,50000385,672.0,0.0,2021-10-08T00:00:00,2021-10-08T00:00:00,618057,PVI LID VENISON DOG 3/5#,FG,15.0,10080.0,20005,42.0,True,PC,both,False
2,262671,20005,1,50000386,3086.0,0.0,2021-10-08T00:00:00,2021-10-08T00:00:00,626182,PVI LID VENISON DOG 13.2#,FG,13.2,40735.0,20005,63.0,True,PC,both,False
3,262672,20005,1,50000387,2345.0,0.0,2021-10-08T00:00:00,2021-10-08T00:00:00,618055,PVI LID VENISON DOG 26#,FG,26.0,60970.0,20005,35.0,True,PC,both,False
10,WO21004784,20005,1,50008977,6000.0,5026.0,2021-09-16T00:00:00,2021-09-16T00:00:00,01021,NEC CKN DUCK QUAIL CAT 10#,FG,10.0,9740.0,20005,70.0,True,PC,both,False
50,WO21009315,20005,1,50006123,2223.0,557.0,2021-08-17T00:00:00,2021-08-17T00:00:00,31745,NVI RB GF INDR RAB CAT 4/4.5#,FG,18.0,29988.0,20005,50.0,True,PC,both,False
52,WO21016750,20005,1,50008174,600.0,0.0,2021-10-21T00:00:00,2021-10-23T00:00:00,13465,SGH HUND N FLOCKEN DOG 6/4#,FG,24.0,14400.0,20005,36.0,True,PC,both,False
53,WO21016728,20005,1,50008158,1500.0,0.0,2021-10-28T00:00:00,2021-10-28T00:00:00,13465,SGH HB OATMEAL SR DOG 28.5#,FG,28.5,42750.0,20005,40.0,True,PC,both,False
56,WO21009919,20005,1,50006241,3760.0,3065.0,2021-09-04T00:00:00,2021-09-04T00:00:00,4500229476,BBC WILD INDR HB CKN CAT 5/5#,FG,25.0,17375.0,20005,40.0,True,PC,both,False
57,WO21009930,20005,1,50006338,1360.0,1100.0,2021-09-04T00:00:00,2021-09-05T00:00:00,4500229476,BBC WILD WC CKN CAT 5/5#,FG,25.0,6500.0,20005,40.0,True,PC,both,False
62,WO21009844,20005,1,50006311,2016.0,963.0,2021-09-05T00:00:00,2021-09-05T00:00:00,4500229476,BBC TB CKN DOG 5/4#,FG,20.0,21060.0,20005,48.0,True,PC,both,False
63,WO21009846,20005,1,50008658,2590.0,2212.0,2021-09-05T00:00:00,2021-09-06T00:00:00,4500229476,BBC TS BEST LIFE ADLT DOG 5/4#,FG,20.0,7560.0,20005,70.0,True,PC,both,False
77,WO21010532,20005,1,50006063,6960.0,4138.0,2021-09-13T00:00:00,2021-09-13T00:00:00,32019,NVI INS GF SALM CAT 10#,FG,10.0,28220.0,20005,128.0,True,PC,both,False
88,WO21010567,20005,1,50009167,1750.0,906.0,2021-09-14T00:00:00,2021-09-15T00:00:00,32019,NVI RB GF BEEF DOG 10#,FG,10.0,8440.0,20005,128.0,True,PC,both,False
94,WO21016312,20005,1,50006346,720.0,0.0,2021-10-10T00:00:00,2021-10-10T00:00:00,4500233831,BBC FRDM INDR WH FISH CAT 5/5#,FG,25.0,18000.0,20005,40.0,True,PC,both,False
95,WO21010547,20005,1,50009309,730.0,0.0,2021-09-07T00:00:00,2021-09-07T00:00:00,32019,NVI LONG RB CKN CAT 4/3.8#,FG,15.2,11096.0,20005,50.0,True,PC,both,False
98,WO21010578,20005,1,50006091,1900.0,389.0,2021-09-15T00:00:00,2021-09-16T00:00:00,32019,NVI RB GF SB BEEF DOG 4/4#,FG,16.0,24176.0,20005,50.0,True,PC,both,False
99,WO21016327,20005,1,50006340,480.0,0.0,2021-10-12T00:00:00,2021-10-12T00:00:00,4500233831,BBC BASICS SR TURKEY DOG 6/4#,FG,24.0,11520.0,20005,40.0,True,PC,both,False
100,WO21010661,20005,1,50008648,6780.0,1180.0,2021-10-07T00:00:00,2021-10-07T00:00:00,4500229476,BBC TS FAB FLN CKN CAT 6/3.5#,FG,21.0,117600.0,20005,60.0,True,PC,both,False
101,WO21010672,20005,1,50009325,2500.0,2402.0,2021-09-10T00:00:00,2021-09-10T00:00:00,32019,NVI RB GF SR CKN DOG 21#,FG,21.0,2058.0,20005,70.0,True,PC,both,False
102,WO21010674,20005,1,50006040,5050.0,3454.0,2021-09-15T00:00:00,2021-09-16T00:00:00,32019,NVI RB GF SB BEEF DOG 10#,FG,10.0,15960.0,20005,128.0,True,PC,both,False
105,WO21017286,20005,1,50009556,5888.0,0.0,2021-10-30T00:00:00,2021-10-31T00:00:00,4500241006,BBC BB W CKN GRAIN DOG 11#,FG,11.0,64768.0,,0.0,True,PC,both,False
157,WO21017243,20005,1,50006580,7424.0,0.0,2021-10-29T00:00:00,2021-10-29T00:00:00,4500241006,BBC WILD CKN WG PUPPY 11#,FG,11.0,81664.0,20005,128.0,True,PC,both,False
160,WO21016301,20005,1,50009151,128.0,0.0,2021-10-07T00:00:00,2021-10-07T00:00:00,4500213283,BBC TS INDOOR HB CAT 11#,FG,11.0,1408.0,20005,1.0,True,PC,both,False
